test_date,symbol,strategy,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,pnl_pts,pnl_rs,outcome,exit_reason
2025-01-01,NIFTY 1 JAN 23850 CE,,CE,23850,75.0,10:21:00 IST,10:27:00 IST,27.88,28.9375,20.91,3.79,1.06,79.5,Success,6_min_momentum_failed
2025-01-01,NIFTY 1 JAN 23900 CE,,CE,23900,75.0,10:50:00 IST,10:56:00 IST,29.43,29.25,22.07,-0.61,-0.18,-13.5,Failure,6_min_momentum_failed
2025-01-01,NIFTY 1 JAN 23950 PE,,PE,23950,75.0,11:51:00 IST,11:57:00 IST,23.79,23.9875,17.84,0.83,0.2,15.0,Success,6_min_momentum_failed
2025-01-01,NIFTY 1 JAN 23950 CE,,CE,23950,100.0,12:24:00 IST,12:47:00 IST,23.5,38.15,38.15,62.34,14.65,1098.75,Success,stop_loss_hit
2025-01-01,NIFTY 1 JAN 24100 PE,,PE,24100,92.0,13:17:00 IST,13:23:00 IST,11.14,8.8375,8.36,-20.67,-2.3,-172.5,Failure,6_min_momentum_failed
2025-01-02,NIFTY 2 JAN 24050 CE,,CE,24050,100.0,09:58:00 IST,10:04:00 IST,47.09,47.6,37.48,1.08,0.51,38.25,Success,6_min_momentum_failed
2025-01-02,NIFTY 2 JAN 24000 CE,,CE,24000,100.0,10:48:00 IST,10:54:00 IST,43.46,42.125,35.34,-3.07,-1.34,-100.5,Failure,6_min_momentum_failed
2025-01-02,NIFTY 2 JAN 24100 CE,,CE,24100,100.0,12:08:00 IST,12:14:00 IST,41.94,40.45,31.94,-3.55,-1.49,-111.75,Failure,6_min_momentum_failed
2025-01-03,NIFTY 3 JAN 24050 PE,,PE,24050,100.0,10:31:00 IST,10:37:00 IST,45.39,47.85,39.05,5.42,2.46,184.5,Success,6_min_momentum_failed
2025-01-03,NIFTY 3 JAN 24050 CE,,CE,24050,82.0,11:19:00 IST,11:32:00 IST,44.67,47.17,47.17,5.6,2.5,187.5,Success,stop_loss_hit
2025-01-03,NIFTY 3 JAN 24100 PE,,PE,24100,100.0,12:21:00 IST,12:27:00 IST,44.77,43.15,34.77,-3.62,-1.62,-121.5,Failure,6_min_momentum_failed
2025-01-03,NIFTY 3 JAN 24100 CE,,CE,24100,75.0,13:06:00 IST,13:12:00 IST,38.57,36.7625,28.93,-4.69,-1.81,-135.75,Failure,6_min_momentum_failed
2025-01-06,NIFTY 6 JAN 23750 PE,,PE,23750,100.0,11:26:00 IST,11:32:00 IST,33.82,33.1625,25.37,-1.94,-0.66,-49.5,Failure,6_min_momentum_failed
2025-01-06,NIFTY 6 JAN 23700 PE,,PE,23700,100.0,13:56:00 IST,14:02:00 IST,29.93,30.75,22.75,2.74,0.82,61.5,Success,6_min_momentum_failed
2025-01-07,NIFTY 7 JAN 23700 PE,,PE,23700,82.0,09:56:00 IST,10:02:00 IST,23.95,24.1,17.96,0.63,0.15,11.25,Success,6_min_momentum_failed
2025-01-07,NIFTY 7 JAN 23650 CE,,CE,23650,100.0,10:17:00 IST,10:21:00 IST,24.61,18.46,18.46,-24.99,-6.15,-461.25,Failure,stop_loss_hit
2025-01-07,NIFTY 7 JAN 23550 CE,,CE,23550,100.0,11:57:00 IST,12:03:00 IST,21.11,19.1375,15.83,-9.34,-1.97,-147.75,Failure,6_min_momentum_failed
2025-01-08,NIFTY 8 JAN 23650 PE,,PE,23650,100.0,10:24:00 IST,10:30:00 IST,13.27,13.425,9.95,1.17,0.16,12.0,Success,6_min_momentum_failed
2025-01-09,NIFTY 9 JAN 23550 CE,,CE,23550,85.0,12:18:00 IST,12:24:00 IST,45.41,42.5875,37.96,-6.22,-2.82,-211.5,Failure,6_min_momentum_failed
2025-01-10,NIFTY 10 JAN 23550 CE,,CE,23550,75.0,11:15:00 IST,11:21:00 IST,55.35,50.0375,45.35,-9.6,-5.31,-398.25,Failure,6_min_momentum_failed
2025-01-10,NIFTY 10 JAN 23500 PE,,PE,23500,100.0,12:11:00 IST,12:17:00 IST,41.69,34.2375,31.69,-17.88,-7.45,-558.75,Failure,6_min_momentum_failed
2025-01-10,NIFTY 10 JAN 23450 PE,,PE,23450,100.0,14:15:00 IST,14:21:00 IST,42.02,41.475,33.4,-1.3,-0.55,-41.25,Failure,6_min_momentum_failed
2025-01-13,NIFTY 13 JAN 23150 CE,,CE,23150,100.0,10:17:00 IST,10:23:00 IST,30.73,30.2375,23.05,-1.6,-0.49,-36.75,Failure,6_min_momentum_failed
2025-01-13,NIFTY 13 JAN 23250 PE,,PE,23250,75.0,11:28:00 IST,11:34:00 IST,23.12,24.1375,17.34,4.4,1.02,76.5,Success,6_min_momentum_failed
2025-01-13,NIFTY 13 JAN 23150 PE,,PE,23150,75.0,13:02:00 IST,13:08:00 IST,20.17,18.4,15.13,-8.78,-1.77,-132.75,Failure,6_min_momentum_failed
2025-01-13,NIFTY 13 JAN 23200 PE,,PE,23200,100.0,14:25:00 IST,14:31:00 IST,19.24,20.4125,14.43,6.09,1.17,87.75,Success,6_min_momentum_failed
2025-01-14,NIFTY 14 JAN 23250 CE,,CE,23250,75.0,10:40:00 IST,11:02:00 IST,17.61,20.11,20.11,14.2,2.5,187.5,Success,stop_loss_hit
2025-01-14,NIFTY 14 JAN 23250 PE,,PE,23250,82.0,11:33:00 IST,11:39:00 IST,19.08,19.075,14.31,-0.03,-0.0,-0.0,Failure,6_min_momentum_failed
2025-01-15,NIFTY 15 JAN 23300 PE,,PE,23300,100.0,11:10:00 IST,11:16:00 IST,10.64,10.0,7.98,-6.02,-0.64,-48.0,Failure,6_min_momentum_failed
2025-01-15,NIFTY 15 JAN 23350 PE,,PE,23350,100.0,13:37:00 IST,13:43:00 IST,12.57,12.1125,9.43,-3.64,-0.46,-34.5,Failure,6_min_momentum_failed
2025-01-16,NIFTY 16 JAN 23200 CE,,CE,23200,80.0,12:35:00 IST,12:41:00 IST,60.6,61.675,53.09,1.77,1.07,80.25,Success,6_min_momentum_failed
2025-01-17,NIFTY 17 JAN 23250 CE,,CE,23250,85.0,10:33:00 IST,10:39:00 IST,45.93,42.8125,35.93,-6.79,-3.12,-234.0,Failure,6_min_momentum_failed
2025-01-17,NIFTY 17 JAN 23150 PE,,PE,23150,100.0,10:51:00 IST,11:09:00 IST,43.88,46.38,46.38,5.7,2.5,187.5,Success,stop_loss_hit
2025-01-17,NIFTY 17 JAN 23150 CE,,CE,23150,75.0,11:35:00 IST,11:41:00 IST,51.37,49.9875,41.37,-2.69,-1.38,-103.5,Failure,6_min_momentum_failed
2025-01-17,NIFTY 17 JAN 23200 CE,,CE,23200,82.0,12:02:00 IST,12:08:00 IST,54.73,52.9125,44.73,-3.32,-1.82,-136.5,Failure,6_min_momentum_failed
2025-01-17,NIFTY 17 JAN 23200 PE,,PE,23200,100.0,13:19:00 IST,13:25:00 IST,45.39,47.125,36.66,3.82,1.73,129.75,Success,6_min_momentum_failed
2025-01-20,NIFTY 20 JAN 23200 CE,,CE,23200,75.0,11:00:00 IST,11:06:00 IST,40.83,38.975,30.83,-4.54,-1.85,-138.75,Failure,6_min_momentum_failed
2025-01-20,NIFTY 20 JAN 23150 CE,,CE,23150,82.0,11:19:00 IST,11:25:00 IST,45.32,43.725,35.32,-3.52,-1.59,-119.25,Failure,6_min_momentum_failed
2025-01-20,NIFTY 20 JAN 23250 CE,,CE,23250,100.0,13:15:00 IST,13:21:00 IST,39.14,29.85,29.85,-23.74,-9.29,-696.75,Failure,stop_loss_hit
2025-01-21,NIFTY 21 JAN 23100 PE,,PE,23100,100.0,11:02:00 IST,11:08:00 IST,19.19,19.025,14.39,-0.86,-0.17,-12.75,Failure,6_min_momentum_failed
2025-01-21,NIFTY 21 JAN 23050 CE,,CE,23050,75.0,11:56:00 IST,12:02:00 IST,23.75,20.55,17.81,-13.47,-3.2,-240.0,Failure,6_min_momentum_failed
2025-01-21,NIFTY 21 JAN 23000 CE,,CE,23000,75.0,12:59:00 IST,13:05:00 IST,26.45,24.75,19.84,-6.43,-1.7,-127.5,Failure,6_min_momentum_failed
2025-01-22,NIFTY 22 JAN 23200 PE,,PE,23200,85.0,09:46:00 IST,09:52:00 IST,12.08,10.7,9.06,-11.42,-1.38,-103.5,Failure,6_min_momentum_failed
2025-01-22,NIFTY 22 JAN 23250 PE,,PE,23250,95.0,10:22:00 IST,10:28:00 IST,9.81,10.45,7.36,6.52,0.64,48.0,Success,6_min_momentum_failed
2025-01-23,NIFTY 23 JAN 23150 CE,,CE,23150,100.0,10:09:00 IST,10:15:00 IST,53.19,51.775,43.19,-2.66,-1.41,-105.75,Failure,6_min_momentum_failed
2025-01-23,NIFTY 23 JAN 23200 PE,,PE,23200,75.0,10:53:00 IST,10:59:00 IST,41.6,40.85,32.24,-1.8,-0.75,-56.25,Failure,6_min_momentum_failed
2025-01-23,NIFTY 23 JAN 23250 CE,,CE,23250,90.0,11:32:00 IST,11:38:00 IST,49.73,51.675,41.2,3.91,1.95,146.25,Success,6_min_momentum_failed
2025-01-23,NIFTY 23 JAN 23350 PE,,PE,23350,75.0,11:56:00 IST,12:02:00 IST,41.07,41.15,31.25,0.19,0.08,6.0,Success,6_min_momentum_failed
2025-01-23,NIFTY 23 JAN 23300 CE,,CE,23300,100.0,12:17:00 IST,12:23:00 IST,48.09,47.9875,38.1,-0.21,-0.1,-7.5,Failure,6_min_momentum_failed
2025-01-24,NIFTY 24 JAN 23250 CE,,CE,23250,95.0,11:31:00 IST,11:37:00 IST,49.73,51.675,41.2,3.91,1.95,146.25,Success,6_min_momentum_failed
2025-01-24,NIFTY 24 JAN 23300 PE,,PE,23300,75.0,12:31:00 IST,13:11:00 IST,39.07,53.58,53.58,37.14,14.51,1088.25,Success,stop_loss_hit
2025-01-24,NIFTY 24 JAN 23200 PE,,PE,23200,75.0,13:22:00 IST,13:28:00 IST,43.51,42.65,34.1,-1.98,-0.86,-64.5,Failure,6_min_momentum_failed
2025-01-24,NIFTY 24 JAN 23150 PE,,PE,23150,77.0,14:14:00 IST,14:20:00 IST,42.22,43.25,35.46,2.44,1.03,77.25,Success,6_min_momentum_failed
2025-01-27,NIFTY 27 JAN 22900 PE,,PE,22900,82.0,10:27:00 IST,10:33:00 IST,39.1,37.0625,29.77,-5.21,-2.04,-153.0,Failure,6_min_momentum_failed
2025-01-27,NIFTY 27 JAN 22950 CE,,CE,22950,75.0,11:22:00 IST,11:28:00 IST,45.05,46.825,36.94,3.94,1.78,133.5,Success,6_min_momentum_failed
2025-01-27,NIFTY 27 JAN 23050 PE,,PE,23050,100.0,12:17:00 IST,12:23:00 IST,36.51,37.2375,27.38,1.99,0.73,54.75,Success,6_min_momentum_failed
2025-01-28,NIFTY 28 JAN 23050 PE,,PE,23050,100.0,09:48:00 IST,09:54:00 IST,37.99,38.525,29.9,1.41,0.53,39.75,Success,6_min_momentum_failed
2025-01-28,NIFTY 28 JAN 23100 CE,,CE,23100,75.0,11:08:00 IST,11:14:00 IST,39.73,36.7125,30.55,-7.6,-3.02,-226.5,Failure,6_min_momentum_failed
2025-01-28,NIFTY 28 JAN 23150 CE,,CE,23150,100.0,13:58:00 IST,14:04:00 IST,36.28,38.15,27.54,5.15,1.87,140.25,Success,6_min_momentum_failed
2025-01-29,NIFTY 29 JAN 23300 PE,,PE,23300,85.0,11:19:00 IST,11:25:00 IST,24.95,26.45,18.71,6.01,1.5,112.5,Success,6_min_momentum_failed
2025-01-29,NIFTY 29 JAN 23250 CE,,CE,23250,100.0,12:20:00 IST,12:26:00 IST,24.77,26.6,18.58,7.39,1.83,137.25,Success,6_min_momentum_failed
2025-01-29,NIFTY 29 JAN 23200 CE,,CE,23200,100.0,13:32:00 IST,13:38:00 IST,14.67,16.3,11.0,11.11,1.63,122.25,Success,6_min_momentum_failed
2025-01-30,NIFTY 30 JAN 23400 PE,,PE,23400,75.0,11:39:00 IST,11:45:00 IST,65.11,61.8875,55.11,-4.95,-3.22,-241.5,Failure,6_min_momentum_failed
2025-01-30,NIFTY 30 JAN 23450 CE,,CE,23450,75.0,13:05:00 IST,13:11:00 IST,79.78,81.175,70.85,1.75,1.39,104.25,Success,6_min_momentum_failed
2025-01-30,NIFTY 30 JAN 23550 PE,,PE,23550,82.0,13:33:00 IST,13:39:00 IST,63.73,64.0,54.08,0.42,0.27,20.25,Success,6_min_momentum_failed
2025-01-30,NIFTY 30 JAN 23500 PE,,PE,23500,75.0,13:56:00 IST,14:02:00 IST,61.42,61.65,52.5,0.37,0.23,17.25,Success,6_min_momentum_failed
2025-01-30,NIFTY 30 JAN 23450 PE,,PE,23450,75.0,14:13:00 IST,14:19:00 IST,59.62,60.2625,50.77,1.08,0.64,48.0,Success,6_min_momentum_failed
2025-01-31,NIFTY 31 JAN 23550 CE,,CE,23550,100.0,09:47:00 IST,09:53:00 IST,67.42,66.9125,57.42,-0.75,-0.51,-38.25,Failure,6_min_momentum_failed
2025-01-31,NIFTY 31 JAN 23400 CE,,CE,23400,100.0,11:53:00 IST,11:55:00 IST,71.89,61.89,61.89,-13.91,-10.0,-750.0,Failure,stop_loss_hit
2025-01-31,NIFTY 31 JAN 23500 CE,,CE,23500,100.0,12:14:00 IST,12:19:00 IST,55.18,45.18,45.18,-18.12,-10.0,-750.0,Failure,stop_loss_hit
2025-01-31,NIFTY 31 JAN 23350 CE,,CE,23350,100.0,13:15:00 IST,13:21:00 IST,52.13,51.2375,42.13,-1.71,-0.89,-66.75,Failure,6_min_momentum_failed
2025-01-31,NIFTY 31 JAN 23500 PE,,PE,23500,85.0,13:55:00 IST,14:01:00 IST,42.33,40.225,32.33,-4.97,-2.1,-157.5,Failure,6_min_momentum_failed
