test_date,symbol,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason,monitor_log,trade_book,pnl_pts,pnl_inr
17-07-2025,NIFTY 17 JUL 25 25050 PE,PE,25050.0,90.0,10:31:00 IST,10:43:00 IST,176.75,176.4,156.75,-0.2,Failure,TIME_DECAY,[],"[{'date': '2025-07-17', 'trade id': '2025-07-17_451', 'time ist': '10:31:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 17 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.75, 'trailing_sl': 156.75, 'rsi': 21.6, 'oi': 1919925, 'outcome': ''}, {'date': '2025-07-17', 'trade id': '2025-07-17_451', 'time ist': '10:43:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 17 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.4, 'trailing_sl': 156.75, 'rsi': 35.1, 'oi': 1863000, 'outcome': 'Failure'}]",-0.35,-26.25
31-07-2025,NIFTY 31 JUL 25 24850 PE,PE,24850.0,85.0,09:17:00 IST,09:19:00 IST,82.21,142.21,62.21,72.98,Success,target_hit,[],"[{'date': '2025-07-31', 'trade id': '2025-07-31_378', 'time ist': '09:17:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 31 JUL 25 24850 PE', 'option_type': 'PE', 'price': 82.21, 'trailing_sl': 62.21, 'rsi': 22.8, 'oi': 4108725, 'outcome': ''}, {'date': '2025-07-31', 'trade id': '2025-07-31_378', 'time ist': '09:19:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 31 JUL 25 24850 PE', 'option_type': 'PE', 'price': 142.21, 'trailing_sl': 62.21, 'rsi': 30.2, 'oi': 979350, 'outcome': 'Success'}]",60.0,4500.0
10-07-2025,NIFTY 10 JUL 25 25350 PE,PE,25350.0,90.0,10:22:00 IST,11:05:00 IST,166.8,226.8,210.0,35.97,Success,target_hit,[],"[{'date': '2025-07-10', 'trade id': '2025-07-10_442', 'time ist': '10:22:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 10 JUL 25 25350 PE', 'option_type': 'PE', 'price': 166.8, 'trailing_sl': 146.8, 'rsi': 26.1, 'oi': 2069925, 'outcome': ''}, {'date': '2025-07-10', 'trade id': '2025-07-10_442', 'time ist': '11:05:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 10 JUL 25 25350 PE', 'option_type': 'PE', 'price': 226.8, 'trailing_sl': 210.0, 'rsi': 21.6, 'oi': 1181400, 'outcome': 'Success'}]",60.0,4500.0
18-07-2025,NIFTY 18 JUL 25 25050 PE,PE,25050.0,90.0,10:31:00 IST,10:43:00 IST,176.75,176.4,156.75,-0.2,Failure,TIME_DECAY,[],"[{'date': '2025-07-18', 'trade id': '2025-07-18_76', 'time ist': '10:31:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 18 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.75, 'trailing_sl': 156.75, 'rsi': 21.5, 'oi': 1919925, 'outcome': ''}, {'date': '2025-07-18', 'trade id': '2025-07-18_76', 'time ist': '10:43:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 18 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.4, 'trailing_sl': 156.75, 'rsi': 35.1, 'oi': 1863000, 'outcome': 'Failure'}]",-0.35,-26.25
11-07-2025,NIFTY 11 JUL 25 25350 PE,PE,25350.0,90.0,10:22:00 IST,11:05:00 IST,166.8,226.8,210.0,35.97,Success,target_hit,[],"[{'date': '2025-07-11', 'trade id': '2025-07-11_67', 'time ist': '10:22:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 11 JUL 25 25350 PE', 'option_type': 'PE', 'price': 166.8, 'trailing_sl': 146.8, 'rsi': 27.0, 'oi': 2069925, 'outcome': ''}, {'date': '2025-07-11', 'trade id': '2025-07-11_67', 'time ist': '11:05:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 11 JUL 25 25350 PE', 'option_type': 'PE', 'price': 226.8, 'trailing_sl': 210.0, 'rsi': 21.6, 'oi': 1181400, 'outcome': 'Success'}]",60.0,4500.0
02-07-2025,NIFTY 2 JUL 25 25650 PE,PE,25650.0,100.0,09:51:00 IST,11:50:00 IST,137.56,176.7,176.7,28.45,Success,stop_loss_hit,[],"[{'date': '2025-07-02', 'trade id': '2025-07-02_36', 'time ist': '09:51:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 2 JUL 25 25650 PE', 'option_type': 'PE', 'price': 137.56, 'trailing_sl': 117.56, 'rsi': 47.9, 'oi': 2700300, 'outcome': ''}, {'date': '2025-07-02', 'trade id': '2025-07-02_36', 'time ist': '11:50:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 2 JUL 25 25650 PE', 'option_type': 'PE', 'price': 176.7, 'trailing_sl': 176.7, 'rsi': 65.0, 'oi': 1612350, 'outcome': 'Success'}]",39.14,2935.5
03-07-2025,NIFTY 3 JUL 25 25650 PE,PE,25650.0,90.0,11:33:00 IST,12:25:00 IST,124.08,159.15,159.15,28.26,Success,stop_loss_hit,[],"[{'date': '2025-07-03', 'trade id': '2025-07-03_138', 'time ist': '11:33:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 3 JUL 25 25650 PE', 'option_type': 'PE', 'price': 124.08, 'trailing_sl': 104.08, 'rsi': 39.8, 'oi': 1930050, 'outcome': ''}, {'date': '2025-07-03', 'trade id': '2025-07-03_138', 'time ist': '12:25:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 3 JUL 25 25650 PE', 'option_type': 'PE', 'price': 159.15, 'trailing_sl': 159.15, 'rsi': 50.6, 'oi': 1318500, 'outcome': 'Success'}]",35.07,2630.25
16-07-2025,NIFTY 16 JUL 25 25250 PE,PE,25250.0,90.0,10:20:00 IST,10:32:00 IST,126.0,125.5,106.0,-0.4,Failure,TIME_DECAY,[],"[{'date': '2025-07-16', 'trade id': '2025-07-16_65', 'time ist': '10:20:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 16 JUL 25 25250 PE', 'option_type': 'PE', 'price': 126.0, 'trailing_sl': 106.0, 'rsi': 45.4, 'oi': 3019425, 'outcome': ''}, {'date': '2025-07-16', 'trade id': '2025-07-16_65', 'time ist': '10:32:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 16 JUL 25 25250 PE', 'option_type': 'PE', 'price': 125.5, 'trailing_sl': 106.0, 'rsi': 55.1, 'oi': 3065400, 'outcome': 'Failure'}]",-0.5,-37.5
08-07-2025,NIFTY 8 JUL 25 25550 PE,PE,25550.0,100.0,10:09:00 IST,10:21:00 IST,149.03,147.95,129.03,-0.72,Failure,TIME_DECAY,[],"[{'date': '2025-07-08', 'trade id': '2025-07-08_54', 'time ist': '10:09:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 8 JUL 25 25550 PE', 'option_type': 'PE', 'price': 149.03, 'trailing_sl': 129.03, 'rsi': 40.9, 'oi': 1858050, 'outcome': ''}, {'date': '2025-07-08', 'trade id': '2025-07-08_54', 'time ist': '10:21:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 8 JUL 25 25550 PE', 'option_type': 'PE', 'price': 147.95, 'trailing_sl': 129.03, 'rsi': 53.4, 'oi': 1813650, 'outcome': 'Failure'}]",-1.08,-81.0
28-07-2025,NIFTY 28 JUL 25 24750 PE,PE,24750.0,100.0,10:38:00 IST,10:50:00 IST,153.62,152.25,133.62,-0.89,Failure,TIME_DECAY,[],"[{'date': '2025-07-28', 'trade id': '2025-07-28_458', 'time ist': '10:38:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 28 JUL 25 24750 PE', 'option_type': 'PE', 'price': 153.62, 'trailing_sl': 133.62, 'rsi': 32.6, 'oi': 2480475, 'outcome': ''}, {'date': '2025-07-28', 'trade id': '2025-07-28_458', 'time ist': '10:50:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 28 JUL 25 24750 PE', 'option_type': 'PE', 'price': 152.25, 'trailing_sl': 133.62, 'rsi': 32.7, 'oi': 2193150, 'outcome': 'Failure'}]",-1.37,-102.75
29-07-2025,NIFTY 29 JUL 25 24750 PE,PE,24750.0,100.0,10:38:00 IST,10:50:00 IST,153.62,152.25,133.62,-0.89,Failure,TIME_DECAY,[],"[{'date': '2025-07-29', 'trade id': '2025-07-29_83', 'time ist': '10:38:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 29 JUL 25 24750 PE', 'option_type': 'PE', 'price': 153.62, 'trailing_sl': 133.62, 'rsi': 32.9, 'oi': 2480475, 'outcome': ''}, {'date': '2025-07-29', 'trade id': '2025-07-29_83', 'time ist': '10:50:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 29 JUL 25 24750 PE', 'option_type': 'PE', 'price': 152.25, 'trailing_sl': 133.62, 'rsi': 32.8, 'oi': 2193150, 'outcome': 'Failure'}]",-1.37,-102.75
28-07-2025,NIFTY 28 JUL 25 24850 PE,PE,24850.0,90.0,12:57:00 IST,13:45:00 IST,167.0,207.15,207.15,24.04,Success,stop_loss_hit,[],"[{'date': '2025-07-28', 'trade id': '2025-07-28_222', 'time ist': '12:57:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 28 JUL 25 24850 PE', 'option_type': 'PE', 'price': 167.0, 'trailing_sl': 147.0, 'rsi': 35.7, 'oi': 2863050, 'outcome': ''}, {'date': '2025-07-28', 'trade id': '2025-07-28_222', 'time ist': '13:45:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 28 JUL 25 24850 PE', 'option_type': 'PE', 'price': 207.15, 'trailing_sl': 207.15, 'rsi': 36.0, 'oi': 2152200, 'outcome': 'Success'}]",40.15,3011.25
01-07-2025,NIFTY 1 JUL 25 25500 PE,PE,25500.0,90.0,13:41:00 IST,13:53:00 IST,132.87,131.65,112.87,-0.92,Failure,TIME_DECAY,[],"[{'date': '2025-07-01', 'trade id': '2025-07-01_641', 'time ist': '13:41:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 1 JUL 25 25500 PE', 'option_type': 'PE', 'price': 132.87, 'trailing_sl': 112.87, 'rsi': 34.0, 'oi': 9807225, 'outcome': ''}, {'date': '2025-07-01', 'trade id': '2025-07-01_641', 'time ist': '13:53:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 1 JUL 25 25500 PE', 'option_type': 'PE', 'price': 131.65, 'trailing_sl': 112.87, 'rsi': 42.9, 'oi': 9757200, 'outcome': 'Failure'}]",-1.22,-91.5
02-07-2025,NIFTY 2 JUL 25 25500 PE,PE,25500.0,90.0,13:41:00 IST,13:53:00 IST,132.87,131.65,112.87,-0.92,Failure,TIME_DECAY,[],"[{'date': '2025-07-02', 'trade id': '2025-07-02_266', 'time ist': '13:41:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 2 JUL 25 25500 PE', 'option_type': 'PE', 'price': 132.87, 'trailing_sl': 112.87, 'rsi': 34.0, 'oi': 9807225, 'outcome': ''}, {'date': '2025-07-02', 'trade id': '2025-07-02_266', 'time ist': '13:53:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 2 JUL 25 25500 PE', 'option_type': 'PE', 'price': 131.65, 'trailing_sl': 112.87, 'rsi': 42.9, 'oi': 9757200, 'outcome': 'Failure'}]",-1.22,-91.5
09-07-2025,NIFTY 9 JUL 25 25350 CE,CE,25350.0,85.0,09:17:00 IST,09:18:00 IST,144.08,142.65,124.08,-0.99,Failure,stop_loss_hit,[],"[{'date': '2025-07-09', 'trade id': '2025-07-09_377', 'time ist': '09:17:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 9 JUL 25 25350 CE', 'option_type': 'CE', 'price': 144.08, 'trailing_sl': 124.08, 'rsi': 53.2, 'oi': 855525, 'outcome': ''}, {'date': '2025-07-09', 'trade id': '2025-07-09_377', 'time ist': '09:18:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 9 JUL 25 25350 CE', 'option_type': 'CE', 'price': 142.65, 'trailing_sl': 124.08, 'rsi': 66.1, 'oi': 855525, 'outcome': 'Failure'}]",-1.43,-107.25
10-07-2025,NIFTY 10 JUL 25 25300 PE,PE,25300.0,100.0,11:11:00 IST,11:12:00 IST,186.75,184.9,166.75,-0.99,Failure,stop_loss_hit,[],"[{'date': '2025-07-10', 'trade id': '2025-07-10_491', 'time ist': '11:11:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 10 JUL 25 25300 PE', 'option_type': 'PE', 'price': 186.75, 'trailing_sl': 166.75, 'rsi': 35.5, 'oi': 3931200, 'outcome': ''}, {'date': '2025-07-10', 'trade id': '2025-07-10_491', 'time ist': '11:12:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 10 JUL 25 25300 PE', 'option_type': 'PE', 'price': 184.9, 'trailing_sl': 166.75, 'rsi': 44.7, 'oi': 3931200, 'outcome': 'Failure'}]",-1.85,-138.75
23-07-2025,NIFTY 23 JUL 25 24950 CE,CE,24950.0,85.0,13:32:00 IST,13:55:00 IST,112.26,138.4,138.4,23.29,Success,stop_loss_hit,[],"[{'date': '2025-07-23', 'trade id': '2025-07-23_632', 'time ist': '13:32:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 23 JUL 25 24950 CE', 'option_type': 'CE', 'price': 112.26, 'trailing_sl': 92.26, 'rsi': 47.7, 'oi': 1431600, 'outcome': ''}, {'date': '2025-07-23', 'trade id': '2025-07-23_632', 'time ist': '13:55:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 23 JUL 25 24950 CE', 'option_type': 'CE', 'price': 138.4, 'trailing_sl': 138.4, 'rsi': 64.6, 'oi': 1103700, 'outcome': 'Success'}]",26.14,1960.5
11-07-2025,NIFTY 11 JUL 25 25300 PE,PE,25300.0,100.0,11:11:00 IST,11:12:00 IST,186.75,184.9,166.75,-0.99,Failure,stop_loss_hit,[],"[{'date': '2025-07-11', 'trade id': '2025-07-11_116', 'time ist': '11:11:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 11 JUL 25 25300 PE', 'option_type': 'PE', 'price': 186.75, 'trailing_sl': 166.75, 'rsi': 35.5, 'oi': 3931200, 'outcome': ''}, {'date': '2025-07-11', 'trade id': '2025-07-11_116', 'time ist': '11:12:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 11 JUL 25 25300 PE', 'option_type': 'PE', 'price': 184.9, 'trailing_sl': 166.75, 'rsi': 44.7, 'oi': 3931200, 'outcome': 'Failure'}]",-1.85,-138.75
24-07-2025,NIFTY 24 JUL 25 24950 CE,CE,24950.0,85.0,13:32:00 IST,13:55:00 IST,112.26,138.4,138.4,23.29,Success,stop_loss_hit,[],"[{'date': '2025-07-24', 'trade id': '2025-07-24_257', 'time ist': '13:32:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 24 JUL 25 24950 CE', 'option_type': 'CE', 'price': 112.26, 'trailing_sl': 92.26, 'rsi': 47.7, 'oi': 1431600, 'outcome': ''}, {'date': '2025-07-24', 'trade id': '2025-07-24_257', 'time ist': '13:55:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 24 JUL 25 24950 CE', 'option_type': 'CE', 'price': 138.4, 'trailing_sl': 138.4, 'rsi': 64.6, 'oi': 1103700, 'outcome': 'Success'}]",26.14,1960.5
15-07-2025,NIFTY 15 JUL 25 25050 CE,CE,25050.0,100.0,11:43:00 IST,11:55:00 IST,134.63,159.4,159.4,18.4,Success,stop_loss_hit,[],"[{'date': '2025-07-15', 'trade id': '2025-07-15_523', 'time ist': '11:43:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 15 JUL 25 25050 CE', 'option_type': 'CE', 'price': 134.63, 'trailing_sl': 114.63, 'rsi': 63.0, 'oi': 1851975, 'outcome': ''}, {'date': '2025-07-15', 'trade id': '2025-07-15_523', 'time ist': '11:55:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 15 JUL 25 25050 CE', 'option_type': 'CE', 'price': 159.4, 'trailing_sl': 159.4, 'rsi': 90.0, 'oi': 1452450, 'outcome': 'Success'}]",24.77,1857.75
14-07-2025,NIFTY 14 JUL 25 25100 CE,CE,25100.0,100.0,11:11:00 IST,11:14:00 IST,188.16,186.3,168.16,-0.99,Failure,stop_loss_hit,[],"[{'date': '2025-07-14', 'trade id': '2025-07-14_491', 'time ist': '11:11:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 14 JUL 25 25100 CE', 'option_type': 'CE', 'price': 188.16, 'trailing_sl': 168.16, 'rsi': 66.9, 'oi': 4319775, 'outcome': ''}, {'date': '2025-07-14', 'trade id': '2025-07-14_491', 'time ist': '11:14:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 14 JUL 25 25100 CE', 'option_type': 'CE', 'price': 186.3, 'trailing_sl': 168.16, 'rsi': 61.1, 'oi': 4319775, 'outcome': 'Failure'}]",-1.86,-139.5
16-07-2025,NIFTY 16 JUL 25 25050 CE,CE,25050.0,100.0,11:43:00 IST,11:55:00 IST,134.63,159.4,159.4,18.4,Success,stop_loss_hit,[],"[{'date': '2025-07-16', 'trade id': '2025-07-16_148', 'time ist': '11:43:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 16 JUL 25 25050 CE', 'option_type': 'CE', 'price': 134.63, 'trailing_sl': 114.63, 'rsi': 63.0, 'oi': 1851975, 'outcome': ''}, {'date': '2025-07-16', 'trade id': '2025-07-16_148', 'time ist': '11:55:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 16 JUL 25 25050 CE', 'option_type': 'CE', 'price': 159.4, 'trailing_sl': 159.4, 'rsi': 90.0, 'oi': 1452450, 'outcome': 'Success'}]",24.77,1857.75
23-07-2025,NIFTY 23 JUL 25 25300 PE,PE,25300.0,85.0,09:21:00 IST,10:30:00 IST,105.55,121.6,121.6,15.21,Success,stop_loss_hit,[],"[{'date': '2025-07-23', 'trade id': '2025-07-23_381', 'time ist': '09:21:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 23 JUL 25 25300 PE', 'option_type': 'PE', 'price': 105.55, 'trailing_sl': 85.55, 'rsi': 45.4, 'oi': 4101375, 'outcome': ''}, {'date': '2025-07-23', 'trade id': '2025-07-23_381', 'time ist': '10:30:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 23 JUL 25 25300 PE', 'option_type': 'PE', 'price': 121.6, 'trailing_sl': 121.6, 'rsi': 55.4, 'oi': 3615525, 'outcome': 'Success'}]",16.05,1203.75
15-07-2025,NIFTY 15 JUL 25 25100 CE,CE,25100.0,100.0,11:11:00 IST,11:14:00 IST,188.16,186.3,168.16,-0.99,Failure,stop_loss_hit,[],"[{'date': '2025-07-15', 'trade id': '2025-07-15_116', 'time ist': '11:11:00 IST', 'event': 'BUY CE', 'symbol': 'NIFTY 15 JUL 25 25100 CE', 'option_type': 'CE', 'price': 188.16, 'trailing_sl': 168.16, 'rsi': 66.9, 'oi': 4319775, 'outcome': ''}, {'date': '2025-07-15', 'trade id': '2025-07-15_116', 'time ist': '11:14:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 15 JUL 25 25100 CE', 'option_type': 'CE', 'price': 186.3, 'trailing_sl': 168.16, 'rsi': 61.1, 'oi': 4319775, 'outcome': 'Failure'}]",-1.86,-139.5
01-07-2025,NIFTY 1 JUL 25 25550 PE,PE,25550.0,90.0,13:22:00 IST,14:05:00 IST,135.74,155.9,155.9,14.85,Success,stop_loss_hit,[],"[{'date': '2025-07-01', 'trade id': '2025-07-01_622', 'time ist': '13:22:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 1 JUL 25 25550 PE', 'option_type': 'PE', 'price': 135.74, 'trailing_sl': 115.74, 'rsi': 18.6, 'oi': 4265100, 'outcome': ''}, {'date': '2025-07-01', 'trade id': '2025-07-01_622', 'time ist': '14:05:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 1 JUL 25 25550 PE', 'option_type': 'PE', 'price': 155.9, 'trailing_sl': 155.9, 'rsi': 49.1, 'oi': 2505075, 'outcome': 'Success'}]",20.16,1512.0
